SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
4169,2020-09-09T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,0,8,215,223,10,2502,292,3017,77178
4170,2020-09-09T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,7,0,7,313,320,7,4634,405,5359,86802
4171,2020-09-09T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,100,9,109,1755,1864,112,27431,4152,33447,383250
4172,2020-09-09T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,172,6,178,1236,1414,97,4158,567,6139,239744
4173,2020-09-09T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,51,12,63,1170,1233,47,1291,138,2662,128433
4174,2020-09-09T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,105,15,120,1407,1527,77,3110,289,4926,290674
4175,2020-09-09T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,69,11,80,2061,2141,88,9358,1147,12646,404903
4176,2020-09-09T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,17,2,19,354,373,33,1514,81,1968,103775
4177,2020-09-09T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,2,0,2,32,34,0,1074,146,1254,18254
4178,2020-09-09T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,83,12,95,2842,2937,91,19137,2135,24209,653982
4179,2020-09-10T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,35,3,38,474,512,11,2948,472,3932,110567
4180,2020-09-10T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,4,1,5,138,143,6,422,28,593,61164
4181,2020-09-10T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,28,3,31,339,370,8,1207,98,1675,168505
4182,2020-09-10T17:00:00,ITA,15,Campania,40.83956555,14.25084984,232,10,242,3500,3742,180,4568,450,8760,289379
4183,2020-09-10T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,143,17,160,3451,3611,110,24994,4468,33073,582928
4184,2020-09-10T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,17,3,20,526,546,39,3144,349,4039,161912
4185,2020-09-10T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,372,9,381,4001,4382,163,7413,882,12677,571817
4186,2020-09-10T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,91,11,102,839,941,114,9060,1579,11580,139851
4187,2020-09-10T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,256,30,286,8166,8452,245,77204,16892,102548,1098986
4188,2020-09-10T17:00:00,ITA,11,Marche,43.61675973,13.5188753,11,2,13,426,439,40,6015,989,7443,129830
4189,2020-09-10T17:00:00,ITA,14,Molise,41.55774754,14.65916051,4,0,4,91,95,3,437,23,555,35157
4190,2020-09-10T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,8,0,8,231,239,20,2506,292,3037,77764
4191,2020-09-10T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,6,0,6,392,398,82,4638,405,5441,87467
4192,2020-09-10T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,110,9,119,1799,1918,74,27450,4153,33521,385183
4193,2020-09-10T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,179,8,187,1283,1470,70,4169,570,6209,242098
4194,2020-09-10T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,57,12,69,1217,1286,63,1300,139,2725,130074
4195,2020-09-10T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,108,18,126,1477,1603,106,3140,289,5032,293401
4196,2020-09-10T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,74,13,87,2127,2214,92,9377,1147,12738,409901
